institution,name,email,phone,other_info
Šilalės rajono savivaldybė Kvėdarnos seniūnija,Rolandas Toleikis,rolandas.toleikis@silale.lt,,
Šilalės rajono savivaldybė Laukuvos seniūnija,Stasys Skalauskas,stasys.skalauskas@silale.lt,,
Šilalės rajono savivaldybė Pajūrio seniūnija,Roma Noreikienė,roma.noreikiene@silale.lt,,
Šilalės rajono savivaldybė Palentinio seniūnija,Rasa Ivinskienė,rasa.ivinskiene@silale.lt,,
Šilalės rajono savivaldybė Tenenių seniūnija,Loreta Petravičienė,loreta.petraviciene@silale.lt,,
Šilalės rajono savivaldybė Traksėdžio seniūnija,Rimantas Knyzelis,rimantas.knyzelis@silale.lt,,
Šilalės rajono savivaldybė Upynos seniūnija,Stefa Kažukauskienė,stefa.kazukauskiene@silale.lt,,
Šilalės rajono savivaldybė Šilalės kaimiškoji seniūnija,Stasys Lidžius,regina.audinyte@silale.lt,,
Šilalės rajono savivaldybė Šilalės miesto seniūnija,Alfonsas Paulikas,vida.miliauskyte@silale.lt,,
Šilalės rajono savivaldybė Žadeikių seniūnija,Vytautas Katauskis,vytautas.katauskis@silale.lt,,
Šilutės rajono savivaldybė Gardamo seniūnija,Tomas Balčytis,sen.gardamas@pamarys.lt,,
Šilutės rajono savivaldybė Juknaičių seniūnija,Dylertas Valentinas,sen.juknaiciai@pamarys.lt,,
Šilutės rajono savivaldybė Katyčių seniūnija,Juzefa Tamavičienė,sen.katyciai@pamarys.lt,,
Šilutės rajono savivaldybė Kintų seniūnija,Antanas Kližentis,sen.kintai@pamarys.lt,,
Šilutės rajono savivaldybė Rusnės seniūnija,Voitech Deniuš,sen.rusne@pamarys.lt,,
Šilutės rajono savivaldybė Saugų seniūnija,Anastazija Oželytė,sen.saugos@pamarys.lt,,
Šilutės rajono savivaldybė Usėnų seniūnija,Algirdas Rauktys,sen.usenai@pamarys.lt,,
Šilutės rajono savivaldybė Vainuto seniūnija,Vitalijus Mockus,sen.vainutas@pamarys.lt,,
Šilutės rajono savivaldybė Šilutės seniūnija,Raimondas Steponkus,RS@pamarys.lt,,
Šilutės rajono savivaldybė Švėkšnos seniūnija,Alfonsas Šeputis,sen.sveksna@pamarys.lt,,
Šilutės rajono savivaldybė Žemaičių Naumiesčio seniūnija,Jonas Budreckas,sen.znaumiestis@pamarys.lt,,
Širvintų rajono savivaldybė Alionių seniūnija,Sigitas Bankauskas,alionys@sirvintos.lt,,
Širvintų rajono savivaldybė Gelvonų seniūnija,Lionginas Juzėnas,l.juzenas@sirvintos.lt,,
Širvintų rajono savivaldybė Jauniūnų seniūnija,Vidmantas Grinis,v.grinis@sirvintos.lt,,
Širvintų rajono savivaldybė Kernavės seniūnija,Stanislovas Gaidakauskas,s.gaidakauskas@sirvintos.lt,,
Širvintų rajono savivaldybė Musninkų seniūnija,Birutė Jankauskienė,musninkai@sirvintos.lt,,
Širvintų rajono savivaldybė Zibalų seniūnija,Nerijus Drazdas,n.drazdas@sirvintos.lt,,
Širvintų rajono savivaldybė Čiobiškio seniūnija,Virginijus Niekis,v.niekis@sirvintos.lt,,
Širvintų rajono savivaldybė Širvintų seniūnija,Laimutė Griškienė,l.griskiene@sirvintos.lt,,
Švenčionių rajono savivaldybė Adutiškio seniūnija,Arūnas Pirštelis,adutiskis@svencionys.lt,,
Švenčionių rajono savivaldybė Cirkliškio seniūnija,Ona Mirinienė,cirkliskis@svencionys.lt,,
Švenčionių rajono savivaldybė Kaltanėnų seniūnija,Boleslovas Kizikas,kaltanenai@svencionys.lt,,
Švenčionių rajono savivaldybė Labanoro seniūnija,Vincas Jusys,labanoras@svencionys.lt,,
Švenčionių rajono savivaldybė Magūnų seniūnija,Jonas Vaivilavičius,magunai@svencionys.lt,,
Švenčionių rajono savivaldybė Pabradės miesto seniūnija,Lucija Tunevič,pabrade@svencionys.lt,,
Švenčionių rajono savivaldybė Pabradės seniūnija,Marija Sadovskaja,pabrades.sen@svencionys.lt,,
Švenčionių rajono savivaldybė Sarių seniūnija,Janina Jankevičiūtė,sariai@svencionys.lt,,
Švenčionių rajono savivaldybė Strūnaičio seniūnija,Slava Aliancevičius,strunaitis@svencionys.lt,,
Švenčionių rajono savivaldybė Svirkų seniūnija,Povilas Čapskas,svirkos@svencionys.lt,,
Švenčionių rajono savivaldybė Švenčionių miesto seniūnija,Ina Sinienė,svencionys@svencionys.lt,,
Švenčionių rajono savivaldybė Švenčionių seniūnija,Tadas Bečelis,svencioniu.sen@svencionys.lt,,
Švenčionių rajono savivaldybė Švenčionėlių miesto seniūnija,Remigijus Kukėnas,svencioneliai@svencionys.lt,,
Švenčionių rajono savivaldybė Švenčionėlių seniūnija,Antanas Juodaitis,svencioneliu.sen@svencionys.lt,,
